join_col,G18GOVRNOE_y,G18HALRJOH_y
,165,180
,90,94
,168,199
,78,90
,143,165
,405,502
,214,225
,139,171
,48,66
,205,207
,123,130
,308,366
,222,316
,246,350
,185,240
,342,402
011-1-1 BROOKINGS ACTIVITY CENTER,773,971
011-1-10 VOLGA COMMUNITY CENTER,672,815
011-1-11 HOLY LIFE TABERNACLE,538,703
011-1-2 BETHEL BAPTIST CHURCH,1380,1708
011-1-3 SWIFTEL CENTER,304,390
011-1-4 AURORA LITTLE HALL,327,393
011-1-5 ELKTON COMMUNITY CENTER,302,348
011-1-6 MCKNIGHT HALL,397,468
011-1-7 BRUCE CITY HALL,287,344
011-1-8 TRINITY LUTHERAN CHURCH,101,109
011-1-9 SINAI AMERICAN LEGION,144,169
013-AMERICINN EVENT CENTER,1481,1777
013-BEST WESTERN RAMKOTA HOTEL AND CONVENTION CENTER,1383,1667
013-CLAREMONT FIRE STATION,76,81
013-COLUMBIA AMERICAN LEGION,111,140
013-COURTHOUSE COMMUNITY ROOM,1214,1484
013-EXPRESS VOTE,1418,1822
013-FREDERICK COMMUNITY CENTER,129,154
013-GROTON COMMUNITY CENTER,445,545
013-HECLA COMMUNITY CENTER,97,114
013-STRATFORD COMMUNTY CENTER,65,84
013-WARNER COMMUNITY CENTER,280,338
013-WESTPORT COMMUNITY CENTER,122,140
,534,655
,243,226
,213,226
,53,53
,60,71
,80,77
,26,36
,32,59
,36,36
,321,355
,50,53
,68,72
,428,480
,229,253
,73,62
,131,148
,121,130
,96,107
,105,124
,191,213
,209,235
,129,151
,136,156
,182,224
,92,100
,103,115
,124,131
,107,122
,124,133
,219,265
,74,92
,151,229
,44,74
,146,182
,44,69
,62,77
,96,122
,245,293
,115,127
,388,458
,39,58
,38,39
,74,90
,88,112
,56,81
,62,81
,63,84
,29,52
,62,75
,59,83
,62,73
,44,66
,71,88
,86,97
,123,168
,196,230
,146,172
,356,434
,46,72
,25,36
,86,109
,43,47
,238,294
,161,186
,148,183
,107,143
,177,221
,67,84
,107,121
,112,145
,129,152
,145,173
,410,461
,60,73
,557,678
,281,345
,345,416
,408,498
,342,440
,306,388
,144,188
,315,391
,231,291
,200,245
,152,189
,415,512
,640,736
,8,10
,50,54
,9,9
,44,46
,13,17
,80,98
,42,48
,57,63
,40,40
,56,66
,3,8
,24,25
,590,633
,97,110
,97,99
,223,230
,369,387
,207,210
,118,125
,233,255
,763,796
,92,99
,143,177
,216,232
,400,466
,370,467
,456,624
,371,469
,358,468
,279,361
,270,328
,245,315
,335,451
,336,449
,128,141
,112,153
,76,89
,86,110
,76,95
,106,139
,85,101
,56,77
,105,132
,42,54
,73,103
,78,111
,83,100
,101,136
,74,84
,177,199
,80,96
,69,101
,91,116
,90,100
,146,175
,146,183
,95,106
,85,112
,33,36
,158,217
,14,39
,64,82
,10,27
,4,5
,18,25
,7,16
,31,67
,24,57
,30,52
,288,288
,204,227
,182,182
,192,203
,254,262
,258,286
,180,224
,167,181
,123,125
,211,239
,79,92
,93,106
,121,123
,319,334
,218,207
,230,240
,203,214
,163,171
,564,585
,114,124
,82,86
,80,91
,71,75
,60,71
,133,163
,134,170
,149,180
,32,44
,47,57
,188,227
,27,33
,54,60
,200,243
,106,126
,167,185
,218,237
,76,82
,71,99
,107,131
,128,167
,58,67
,37,48
,28,31
,87,104
,513,699
,356,521
,238,264
,62,73
,103,111
,154,164
,136,147
,143,155
,136,146
,104,117
,430,464
,109,110
,188,218
,429,451
,221,267
,283,312
,148,160
,49,61
,75,98
,124,149
,58,71
,103,112
,174,237
,219,283
,358,354
,176,200
,145,170
,185,208
,81,90
,107,113
,54,73
,40,40
,72,90
,25,32
,59,64
,48,52
,100,104
065-BLUNT CITY HALL,149,164
065-FAITH LUTHERAN CHURCH,1130,1675
065-HARROLD CITY AUDITORIUM,97,95
065-HYDE RESIDENCE,42,52
065-LUTHERAN MEMORIAL CHURCH,690,1101
065-NEW LIFE ASSEMBLY OF GOD CHURCH,1238,1700
065-PILC REC CENTER,403,579
,472,477
,457,435
,97,86
,313,382
,350,436
,255,303
,138,162
,407,462
,30,31
,73,78
,146,154
,77,94
,47,56
,62,73
,46,48
,32,41
,217,264
,90,94
,75,90
,41,48
,55,71
,130,155
,110,137
,121,128
,263,303
,144,180
,437,517
,113,124
,233,260
,113,123
,248,287
,119,143
,178,214
,213,269
,255,314
,106,127
,647,828
,258,324
,235,334
,224,270
,623,753
,832,946
,984,1143
,541,652
,211,265
,165,159
,415,467
,134,177
,646,708
,1433,1598
,136,156
,265,294
,125,136
,121,137
,229,254
,168,195
,228,249
,609,698
,555,602
,403,489
,118,128
,261,305
,834,1034
,485,563
,241,274
,385,458
,515,614
,183,238
,846,971
,569,676
,238,291
,347,424
,306,383
,246,279
,620,728
,881,1001
,942,1110
,368,439
,1103,1262
,567,661
,41,47
,167,185
,65,80
,11,22
,148,181
,201,239
,58,76
,243,247
,65,75
,294,262
,312,264
,284,329
,177,196
,134,148
,150,161
,34,31
,144,161
,146,157
,121,140
,109,131
,63,76
,112,147
,100,129
,70,80
,156,171
,87,99
,70,87
,86,104
,82,94
,131,132
,97,101
,304,330
,284,303
,99,119
,82,99
,563,605
,120,144
,216,224
,58,65
,22,28
,170,189
,177,206
,22,38
,33,36
,52,54
,245,259
,428,475
,46,57
,67,70
,215,245
,179,223
,166,197
,601,655
,229,284
,134,171
,81,109
,35,41
,562,605
,406,459
,24,25
,66,67
,193,209
,130,128
,67,83
,27,31
,86,104
,83,90
,66,78
,64,86
,63,69
,47,70
,50,60
,63,84
,42,45
,103,126
,85,113
,70,75
,400,434
,527,621
,502,552
,490,590
,496,576
,508,630
,532,637
,686,815
,484,568
,543,637
,989,1111
,622,754
,447,536
,1085,1341
,271,291
,275,319
,599,711
,720,863
,457,535
,514,608
,359,410
,612,729
,514,594
,744,867
,786,939
,309,358
,234,285
,148,168
,226,277
,357,396
,112,123
,683,819
,248,314
,370,416
,747,888
,457,521
,237,298
,301,360
,128,154
,233,287
,345,434
,210,261
,276,372
,133,180
,210,250
,260,312
,256,316
,257,308
,280,326
,249,281
,310,362
,243,279
,348,407
,176,216
,398,429
,1060,1211
,1184,1289
,570,659
,698,839
,276,301
,776,984
,360,399
,595,686
,541,648
,454,528
,82,100
,451,524
,728,853
,527,597
,366,400
,578,685
,165,217
,162,207
,276,348
,174,203
,194,221
,369,426
,749,819
,874,1007
,1283,1450
,476,558
,47,44
,26,26
,641,713
,785,922
,67,74
,299,367
,1690,1911
,475,530
,1285,1495
,179,199
,185,195
,489,531
,389,440
,340,386
,369,408
,208,246
,738,813
,985,1115
,519,632
,189,214
,1253,1243
,663,700
,368,400
,239,276
,37,42
,577,635
,227,239
,689,706
,1069,1152
,743,812
,304,318
,128,146
,356,388
,169,172
,490,550
,793,873
,539,578
,243,272
,718,776
,52,60
,141,142
,59,67
,192,202
,39,36
,91,94
,69,88
,79,91
,38,48
,51,59
,194,237
107-GETTYSBURG LEGION ANNEX,552,644
107-HOVEN AMERICAN LEGION,269,279
,71,94
,255,278
,88,104
,25,35
,118,141
,294,312
,30,58
,211,235
,63,78
,291,334
,101,125
,96,121
,133,155
,172,192
,149,178
,139,153
,37,36
,17,23
,31,63
,11,18
,34,51
,22,46
,33,48
,17,34
,12,17
,238,277
,165,199
,148,185
,104,122
,45,66
,221,263
,69,84
,182,267
,204,273
,650,911
,48,51
,64,80
119-AGAR FIRE HALL,76,85
119-BILL FLOYD SHOP,93,117
119-PHOENIX CENTER,331,411
,9,14
,55,59
,78,81
,71,109
,36,42
,21,35
,41,56
,38,56
,41,54
,82,98
,212,253
,58,67
,46,55
,87,117
,196,234
,53,72
,85,104
,130,172
,153,206
,171,232
,98,131
,59,73
,471,451
,481,539
,182,192
,198,199
,290,340
,251,288
,75,94
,324,364
,188,194
,174,196
,320,364
,165,178
,232,247
,281,308
,339,342
,227,257
,201,208
,285,289
,324,342
,536,549
,796,808
,101,111
,94,114
,276,322
,84,91
,175,194
,274,308
,257,284
,61,61
,44,51
,102,112
135-GAYVILLE COMMUNITY CENTER,254,326
135-JODEAN'S STEAKHOUSE AND LOUNGE,1559,1963
135-LESTERVILLE FIRE HALL,201,276
135-LEWIS AND CLARK REC AREA,434,518
135-MAYFIELD STORE,230,247
135-NATIONAL FIELD ARCHERY ASSOC.,455,583
135-YANKTON CITY HALL,988,1278
,5,8
,11,14
,45,65
,27,47
,144,187
,9,19
